,cik_Filing,CIK,titleOfClass,putCall,investmentDiscretion,value
3,1000097,106444,COM,Call,DFND,4131000
4,1000097,1067839,UNIT SER 1,Put,DFND,74875000
6,1000097,1100663,RUSSELL 2000 ETF,Put,DFND,19353000
8,1000097,1177648,COM,Put,DFND,11217000
11,1000097,1315443,COM NEW,Call,DFND,1085000
14,1000097,1327567,COM,Put,DFND,8184000
29,1000097,1641631,COM,Call,DFND,2360000
33,1000097,1654151,COM,Call,DFND,1466000
35,1000097,1673772,COM,Call,DFND,3673000
38,1000097,1682852,COM,Put,DFND,12699000
41,1000097,1689813,COM,Call,DFND,27562000
46,1000097,1743881,COM,Call,DFND,1668000
52,1000097,1820302,COM CL A,Call,DFND,255000
67,1000097,875045,COM,Call,DFND,22552000
86,1000275,1000275,COM,Call,DFND,2123000
87,1000275,1000275,COM,Put,SOLE,23882000
103,1000275,1001085,CL A LTD VT SH,Call,DFND,755000
152,1000275,100493,CL A,Put,SOLE,6973000
157,1000275,100517,COM,Put,SOLE,11908000
183,1000275,1007648,SPONSORED ADS,Put,SOLE,31281000
190,1000275,100817,COM,Call,SOLE,94650000
197,1000275,1009001,COM,Call,DFND,8909000
244,1000275,1014931,COM,Put,SOLE,623000
266,1000275,101778,COM,Put,DFND,780000
276,1000275,1018724,COM,Call,SOLE,87026000
277,1000275,1018724,COM,Put,SOLE,903940000
296,1000275,102186,COM,Put,SOLE,2507000
413,1000275,1032208,COM,Call,SOLE,41139000
470,1000275,103754,COM,Call,SOLE,12255000
491,1000275,1038357,COM,Put,SOLE,3638000
533,1000275,104169,COM,Put,SOLE,38777000
571,1000275,104581,COM,Call,SOLE,63381000
572,1000275,104581,COM,Put,DFND,912000
573,1000275,104581,COM,Put,SOLE,338668000
608,1000275,1048911,COM,Put,SOLE,15001000
670,1000275,105598,COM,Put,DFND,86364000
671,1000275,105598,COM,Put,SOLE,79527000
692,1000275,1057065,COM,Call,SOLE,6024000
716,1000275,105809,COM,Call,SOLE,10140000
717,1000275,105809,COM,Put,SOLE,32168000
743,1000275,10604,COM,Put,SOLE,17118000
773,1000275,1062231,COM,Put,SOLE,6811000
786,1000275,106444,COM,Put,DFND,2360000
792,1000275,1064641,ENERGY,Call,SOLE,10584000
793,1000275,1064641,ENERGY,Put,DFND,155650000
794,1000275,1064641,ENERGY,Put,SOLE,200244000
797,1000275,1064641,FINANCIAL,Call,DFND,15620000
798,1000275,1064641,FINANCIAL,Call,SOLE,44759000
799,1000275,1064641,FINANCIAL,Put,DFND,278079000
800,1000275,1064641,FINANCIAL,Put,SOLE,634625000
805,1000275,1064641,SBI CONS DISCR,Call,SOLE,27415000
806,1000275,1064641,SBI CONS DISCR,Put,SOLE,91630000
810,1000275,1064641,SBI CONS STPLS,Put,SOLE,14828000
814,1000275,1064641,SBI HEALTHCARE,Put,SOLE,106879000
818,1000275,1064641,SBI INT-INDS,Put,SOLE,80945000
822,1000275,1064641,SBI INT-UTILS,Put,SOLE,94128000
829,1000275,1064641,TECHNOLOGY,Put,SOLE,91264000
838,1000275,1065088,COM,Put,SOLE,9144000
842,1000275,106528,COM,Call,SOLE,31809000
843,1000275,106528,COM,Put,SOLE,249410000
860,1000275,1067428,SPONSORED ADR,Call,SOLE,4167000
866,1000275,1067839,UNIT SER 1,Call,SOLE,623152000
867,1000275,1067839,UNIT SER 1,Put,SOLE,1283862000
872,1000275,1067983,CL B NEW,Call,SOLE,3618000
873,1000275,1067983,CL B NEW,Put,SOLE,23920000
903,1000275,1070235,COM,Call,DFND,372000
904,1000275,1070235,COM,Put,DFND,5796000
920,1000275,1070794,COM,Put,SOLE,6547000
937,1000275,1071739,COM,Call,SOLE,2241000
947,1000275,1075124,COM NEW,Call,DFND,10861000
948,1000275,1075124,COM NEW,Put,DFND,8373000
954,1000275,1075531,COM,Call,SOLE,3599000
955,1000275,1075531,COM,Put,SOLE,3599000
1026,1000275,1085917,COM,Put,DFND,88980000
1027,1000275,1085917,COM,Put,SOLE,107790000
1042,1000275,1089063,COM,Call,SOLE,1299000
1052,1000275,1090012,COM,Put,SOLE,11743000
1059,1000275,1090458,COM,Call,SOLE,17303000
1062,1000275,1090727,CL B,Call,SOLE,26793000
1063,1000275,1090727,CL B,Put,SOLE,16933000
1092,1000275,1093557,COM,Put,DFND,322000
1112,1000275,1095651,COM,Call,SOLE,594000
1130,1000275,1097362,COM,Call,DFND,22276000
1131,1000275,1097362,COM,Put,DFND,97457000
1132,1000275,1097362,COM,Put,SOLE,1169000
1146,1000275,1098543,COM NEW,Put,SOLE,412000
1151,1000275,1099219,COM,Call,SOLE,6249000
1152,1000275,1099219,COM,Put,DFND,10517000
1153,1000275,1099219,COM,Put,SOLE,6505000
1157,1000275,109959,COM,Put,SOLE,14563000
1182,1000275,1100663,BARCLAYS 7 10 YR,Call,SOLE,54407000
1183,1000275,1100663,BARCLAYS 7 10 YR,Put,SOLE,28313000
1192,1000275,1100663,CHINA LG-CAP ETF,Call,SOLE,7744000
1193,1000275,1100663,CHINA LG-CAP ETF,Put,SOLE,71020000
1259,1000275,1100663,EXPANDED TECH,Call,SOLE,17656000
1260,1000275,1100663,EXPANDED TECH,Put,SOLE,35311000
1315,1000275,1100663,IBOXX HI YD ETF,Call,SOLE,77343000
1316,1000275,1100663,IBOXX HI YD ETF,Put,SOLE,226835000
1320,1000275,1100663,IBOXX INV CP ETF,Put,SOLE,132520000
1376,1000275,1100663,MSCI EAFE ETF,Call,SOLE,85620000
1377,1000275,1100663,MSCI EAFE ETF,Put,DFND,94000
1378,1000275,1100663,MSCI EAFE ETF,Put,SOLE,47232000
1385,1000275,1100663,MSCI EMG MKT ETF,Call,SOLE,25646000
1386,1000275,1100663,MSCI EMG MKT ETF,Put,SOLE,96552000
1460,1000275,1100663,RUSSELL 2000 ETF,Call,SOLE,703810000
1461,1000275,1100663,RUSSELL 2000 ETF,Put,DFND,55613000
1462,1000275,1100663,RUSSELL 2000 ETF,Put,SOLE,949661000
1484,1000275,1100663,TIPS BD ETF,Put,SOLE,11589000
1497,1000275,1100663,U.S. REAL ES ETF,Put,SOLE,1626000
1585,1000275,1108524,COM,Call,SOLE,4956000
1586,1000275,1108524,COM,Put,SOLE,56290000
1654,1000275,1119639,SPONSORED ADR,Put,SOLE,12627000
1689,1000275,112397,COM,Put,SOLE,3271000
1755,1000275,1132597,SPON ADR REP PFD,Put,SOLE,1406000
1777,1000275,1136893,COM,Call,SOLE,14801000
1778,1000275,1136893,COM,Put,SOLE,4366000
1796,1000275,113736,GOLD MINERS ETF,Call,SOLE,36306000
1797,1000275,113736,GOLD MINERS ETF,Put,SOLE,53743000
1810,1000275,113736,JUNIOR GOLD MINE,Put,DFND,6457000
1822,1000275,113736,OIL SERVICES ETF,Put,DFND,63788000
1823,1000275,113736,OIL SERVICES ETF,Put,SOLE,18484000
1831,1000275,113736,SEMICONDUCTR ETF,Call,SOLE,2470000
1832,1000275,113736,SEMICONDUCTR ETF,Put,SOLE,38290000
1840,1000275,113736,VANECK RUSSIA ET,Put,SOLE,267000
1870,1000275,1141391,CL A,Put,DFND,108000
1894,1000275,11448,COM,Put,SOLE,91000
1930,1000275,1158041,COM,Put,DFND,1645000
1945,1000275,1159036,COM,Call,SOLE,3418000
1970,1000275,1163165,COM,Put,SOLE,13425000
1974,1000275,1163302,COM,Call,SOLE,6936000
1975,1000275,1163302,COM,Put,SOLE,5712000
1986,1000275,1164727,COM,Call,SOLE,5861000
1987,1000275,1164727,COM,Put,SOLE,4962000
2006,1000275,1166893,COM,Call,DFND,71184000
2007,1000275,1166893,COM,Put,DFND,301079000
2008,1000275,1166893,COM,Put,SOLE,13125000
2023,1000275,1168164,EURO STOXX 50,Put,SOLE,54382000
2146,1000275,1174922,COM,Call,SOLE,8997000
2147,1000275,1174922,COM,Put,SOLE,51874000
2216,1000275,1207179,SHS,Call,SOLE,114000
2370,1000275,1209466,SOLAR ETF,Call,SOLE,11546000
2420,1000275,1222333,GOLD SHS,Call,SOLE,44603000
2421,1000275,1222333,GOLD SHS,Put,SOLE,9899000
2459,1000275,1230992,COM,Call,DFND,11753000
2460,1000275,1230992,COM,Put,DFND,11753000
2463,1000275,1232384,COM,Put,DFND,214642000
2464,1000275,1232384,COM,Put,SOLE,1638000
2543,1000275,1261333,COM,Put,DFND,594000
2544,1000275,1261333,COM,Put,SOLE,8377000
2557,1000275,1264089,COM,Put,DFND,3165000
2665,1000275,1283246,COM,Call,SOLE,21028000
2686,1000275,1285785,COM,Put,SOLE,15716000
2756,1000275,12927,COM,Call,SOLE,2517000
2757,1000275,12927,COM,Put,SOLE,39459000
2761,1000275,1293135,COM,Call,DFND,3859000
2801,1000275,1300514,COM,Call,SOLE,6775000
2802,1000275,1300514,COM,Put,SOLE,376000
2843,1000275,1308648,COM,Call,DFND,2111000
2864,1000275,1313907,COM,Call,SOLE,10359000
2890,1000275,1316835,COM,Call,SOLE,857000
2910,1000275,1318605,COM,Call,SOLE,315449000
2911,1000275,1318605,COM,Put,DFND,740000
2912,1000275,1318605,COM,Put,SOLE,2053007000
2935,1000275,1321655,CL A,Put,SOLE,7284000
2954,1000275,1324424,COM NEW,Call,SOLE,7229000
2955,1000275,1324424,COM NEW,Put,SOLE,45632000
2982,1000275,1326801,CL A,Call,SOLE,72113000
2983,1000275,1326801,CL A,Put,SOLE,325721000
2991,1000275,1327567,COM,Call,SOLE,7238000
2992,1000275,1327567,COM,Put,SOLE,28896000
3008,1000275,1329099,SPON ADR REP A,Call,SOLE,5952000
3009,1000275,1329099,SPON ADR REP A,Put,SOLE,33627000
3081,1000275,1330568,ISHARES,Call,SOLE,80570000
3082,1000275,1330568,ISHARES,Put,SOLE,56530000
3113,1000275,1335258,COM,Call,SOLE,5266000
3114,1000275,1335258,COM,Put,SOLE,1077000
3128,1000275,1336917,CL A,Call,SOLE,7302000
3129,1000275,1336917,CL A,Put,SOLE,15469000
3132,1000275,1336917,CL C,Call,SOLE,4510000
3209,1000275,1349682,COM CL A,Call,SOLE,1551000
3210,1000275,1349682,COM CL A,Put,SOLE,689000
3293,1000275,1353283,COM,Call,SOLE,10357000
3396,1000275,1364742,COM,Call,SOLE,43764000
3441,1000275,1370637,COM,Call,SOLE,8977000
3442,1000275,1370637,COM,Put,SOLE,20690000
3467,1000275,1373715,COM,Call,SOLE,7595000
3468,1000275,1373715,COM,Put,SOLE,3505000
3618,1000275,1393818,COM,Call,SOLE,9057000
3619,1000275,1393818,COM,Put,SOLE,16070000
3639,1000275,1397187,COM,Call,SOLE,14562000
3640,1000275,1397187,COM,Put,SOLE,11352000
3678,1000275,1402388,COM,Put,DFND,73408000
3682,1000275,1402436,COM,Call,SOLE,3386000
3688,1000275,1403161,COM CL A,Put,DFND,87000
3793,1000275,141404,ALERIAN MLP,Put,SOLE,13096000
3844,1000275,1418091,COM,Put,SOLE,17604000
3897,1000275,1423902,COM,Call,SOLE,1656000
3957,1000275,14272,COM,Call,SOLE,68947000
3964,1000275,1428439,COM CL A,Put,SOLE,913000
3967,1000275,1428869,LP INT UNIT,Call,DFND,10338000
3976,1000275,1429764,COM,Call,SOLE,292000
4093,1000275,1437107,COM SER A,Put,SOLE,7062000
4123,1000275,1439404,CL A,Call,DFND,256000
4137,1000275,1441816,CL A,Put,SOLE,54258000
4174,1000275,1447669,CL A,Put,SOLE,1317000
4264,1000275,1456346,COM,Call,DFND,14000
4265,1000275,1456346,COM,Call,SOLE,11201000
4294,1000275,1463172,COM,Call,SOLE,10429000
4295,1000275,1463172,COM,Put,SOLE,14601000
4330,1000275,1467623,CL A,Put,SOLE,736000
4349,1000275,1467858,COM,Put,SOLE,21388000
4370,1000275,1469367,COM,Call,SOLE,552000
4377,1000275,14707,COM,Call,SOLE,3515000
4406,1000275,147526,COM,Call,DFND,29909000
4407,1000275,147526,COM,Put,DFND,3696000
4430,1000275,1477333,CL A COM,Put,SOLE,6181000
4433,1000275,1477449,COM,Put,SOLE,3673000
4499,1000275,1483994,SPONSORED ADS,Put,SOLE,2207000
4704,1000275,1503123,XTRACK HRVST CSI,Put,SOLE,1306000
4759,1000275,1506293,CL A,Call,SOLE,17833000
4760,1000275,1506293,CL A,Put,SOLE,3126000
4778,1000275,1508844,COM,Call,DFND,2536000
4797,1000275,1512673,CL A,Call,SOLE,10934000
4798,1000275,1512673,CL A,Put,SOLE,49277000
4811,1000275,1513761,SHS,Call,SOLE,1244000
4812,1000275,1513761,SHS,Put,DFND,703000
4813,1000275,1513761,SHS,Put,SOLE,3540000
4817,1000275,1513845,SHS CLASS A,Call,SOLE,11368000
4818,1000275,1513845,SHS CLASS A,Put,SOLE,29972000
4861,1000275,1517413,CL A,Call,SOLE,2372000
4862,1000275,1517413,CL A,Put,SOLE,9813000
4967,1000275,1529192,SPONSORED ADS A,Put,SOLE,11697000
4986,1000275,1530238,ADS REPSTG COM A,Call,SOLE,4111000
4987,1000275,1530238,ADS REPSTG COM A,Put,SOLE,454000
5048,1000275,1535527,CL A,Call,SOLE,1024000
5049,1000275,1535527,CL A,Put,SOLE,35053000
5075,1000275,1539638,COM,Call,SOLE,1786000
5078,1000275,1539838,COM,Call,DFND,216000
5079,1000275,1539838,COM,Call,SOLE,27610000
5080,1000275,1539838,COM,Put,SOLE,45459000
5086,1000275,1540755,COM,Call,SOLE,1444000
5090,1000275,1543151,COM,Call,SOLE,13862000
5091,1000275,1543151,COM,Put,DFND,1631000
5092,1000275,1543151,COM,Put,SOLE,100246000
5101,1000275,1544522,CLASS A COM,Call,SOLE,391000
5103,1000275,1545851,COM,Call,DFND,160000
5104,1000275,1545851,COM,Put,DFND,534000
5107,1000275,1546066,COM,Call,SOLE,197000
5108,1000275,1546066,COM,Put,DFND,97056000
5117,1000275,1546693,CL A COM,Put,DFND,14000
5167,1000275,1549802,SPON ADR CL A,Call,SOLE,350000
5175,1000275,1551152,COM,Put,DFND,217000
5176,1000275,1551152,COM,Put,SOLE,24372000
5180,1000275,1551182,SHS,Call,SOLE,66847000
5258,1000275,1557463,UNITS,Put,SOLE,8154000
5269,1000275,155972,COM CL A,Put,SOLE,54908000
5282,1000275,1561032,CL A NEW,Call,SOLE,9950000
5283,1000275,1561032,CL A NEW,Put,SOLE,1336000
5323,1000275,1564408,CL A,Call,SOLE,9876000
5324,1000275,1564408,CL A,Put,SOLE,28806000
5408,1000275,1575033,COM CL A,Put,SOLE,2747000
5442,1000275,1577526,CL A,Put,SOLE,3828000
5445,1000275,1577552,SPONSORED ADS,Call,SOLE,343564000
5446,1000275,1577552,SPONSORED ADS,Put,SOLE,159654000
5487,1000275,1579982,INNOVATION ETF,Put,SOLE,7567000
5542,1000275,1584509,COM,Put,SOLE,60747000
5545,1000275,1584549,COM,Put,SOLE,525000
5554,1000275,1585521,CL A,Call,SOLE,1839000
5555,1000275,1585521,CL A,Put,SOLE,17122000
5576,1000275,1588727,COM,Put,SOLE,5200000
5579,1000275,1588823,COM,Call,DFND,7399000
5635,1000275,1594805,CL A,Call,DFND,33057000
5636,1000275,1594805,CL A,Put,DFND,75756000
5637,1000275,1594805,CL A,Put,SOLE,113635000
5813,1000275,161052,SHS,Call,SOLE,10368000
5814,1000275,161052,SHS,Put,SOLE,3574000
5840,1000275,1613103,SHS,Call,SOLE,63611000
5905,1000275,161764,CL A,Put,SOLE,8400000
5908,1000275,161764,CL C CAP STK,Call,SOLE,562000
5909,1000275,161764,CL C CAP STK,Put,SOLE,3831000
5921,1000275,1618756,COM,Put,DFND,42000
5925,1000275,1618921,COM,Call,SOLE,2347000
5926,1000275,1618921,COM,Put,DFND,365000
5927,1000275,1618921,COM,Put,SOLE,13040000
5941,1000275,1620533,CL A,Put,SOLE,346000
5945,1000275,1620737,COM,Call,DFND,1015000
5975,1000275,1625163,COM,Call,SOLE,3905000
5995,1000275,1627223,COM,Put,SOLE,13424000
6047,1000275,1633917,COM,Put,SOLE,68851000
6116,1000275,1639825,CL A COM,Put,SOLE,9655000
6121,1000275,163992,SHS,Call,SOLE,445000
6182,1000275,1645113,ORD SHS,Call,SOLE,14415000
6201,1000275,1647088,COM CL A,Call,SOLE,2062000
6214,1000275,1648782,COM,Put,SOLE,2638000
6233,1000275,1650372,CL A,Call,SOLE,73513000
6234,1000275,1650372,CL A,Put,SOLE,88497000
6263,1000275,1652044,CAP STK CL A,Call,SOLE,52147000
6264,1000275,1652044,CAP STK CL A,Put,SOLE,65183000
6268,1000275,1652044,CAP STK CL C,Call,SOLE,8681000
6269,1000275,1652044,CAP STK CL C,Put,SOLE,208338000
6303,1000275,165521,COM,Call,SOLE,3258000
6372,1000275,1666175,COM,Put,SOLE,1569000
6396,1000275,1668717,SPONSORED ADR,Put,SOLE,2803000
6436,1000275,1673358,COM,Call,DFND,20000
6465,1000275,1675149,COM,Call,SOLE,244000
6466,1000275,1675149,COM,Put,SOLE,11916000
6500,1000275,1679826,COM,Put,SOLE,263000
6536,1000275,1682852,COM,Put,SOLE,34541000
6567,1000275,1686262,SPONSORED ADR,Put,SOLE,2803000
6572,1000275,16868,COM,Call,DFND,77270000
6573,1000275,16868,COM,Put,DFND,110615000
6574,1000275,16868,COM,Put,SOLE,803000
6585,1000275,1688568,COM,Call,SOLE,3789000
6586,1000275,1688568,COM,Put,SOLE,6000
6603,1000275,1689923,COM CL A,Call,SOLE,11114000
6604,1000275,1689923,COM CL A,Put,SOLE,3630000
6608,1000275,1690511,SHS SUB VTG,Put,DFND,2780000
6614,1000275,169082,CL A,Put,SOLE,46358000
6641,1000275,1692819,COM,Call,SOLE,38709000
6704,1000275,170278,CL A,Call,SOLE,3652000
6811,1000275,1712807,COM CL A,Call,SOLE,2271000
6812,1000275,1712807,COM CL A,Put,SOLE,1421000
6815,1000275,1713443,COM,Call,DFND,4258000
6816,1000275,1713443,COM,Put,DFND,2907000
6916,1000275,1725964,COM,Call,DFND,257492000
6917,1000275,1725964,COM,Put,DFND,62416000
6918,1000275,1725964,COM,Put,SOLE,180000
6952,1000275,1730168,COM,Put,SOLE,102806000
6991,1000275,1736541,SPON ADS,Put,SOLE,8870000
7003,1000275,1737806,SPONSORED ADS,Call,SOLE,2915000
7004,1000275,1737806,SPONSORED ADS,Put,SOLE,122000
7007,1000275,1737927,COM,Call,DFND,5316000
7068,1000275,1745041,COM,Call,SOLE,3908000
7069,1000275,1745041,COM,Put,SOLE,8099000
7075,1000275,1745431,COM CL A,Put,SOLE,1214000
7086,1000275,1746396,CLASS A ORD,Call,SOLE,273000
7105,1000275,1748797,COM SUN VTG,Call,DFND,2193000
7120,1000275,1750459,SPON ADR REP PFD,Put,SOLE,1406000
7130,1000275,1751788,COM,Put,SOLE,5956000
7151,1000275,1754301,CL A COM,Put,SOLE,546000
7185,1000275,1759509,CL A COM,Call,SOLE,833000
7186,1000275,1759509,CL A COM,Put,SOLE,15481000
7231,1000275,1765159,SUB VTG SHS,Call,DFND,15608000
7232,1000275,1765159,SUB VTG SHS,Put,DFND,10559000
7235,1000275,1765518,COM,Call,DFND,19070000
7236,1000275,1765518,COM,Put,DFND,84194000
7237,1000275,1765518,COM,Put,SOLE,870000
7250,1000275,1766502,CL A,Put,SOLE,2359000
7374,1000275,1784535,COM,Call,SOLE,1431000
7436,1000275,1791706,SPONSORED ADS,Put,SOLE,5784000
7448,1000275,1792627,SPONSORED ADS,Put,SOLE,360000
7452,1000275,1792789,CL A,Call,SOLE,3425000
7453,1000275,1792789,CL A,Put,SOLE,10423000
7540,1000275,1802749,COM,Call,SOLE,301000
7619,1000275,181121,COM,Call,SOLE,4733000
7620,1000275,181121,COM,Put,SOLE,43746000
7628,1000275,1811882,COM CL A,Call,SOLE,473000
7783,1000275,1823,COM,Call,SOLE,22452000
7784,1000275,1823,COM,Put,SOLE,28613000
7793,1000275,1823306,SUB VTG SHS,Call,DFND,3881000
7794,1000275,1823306,SUB VTG SHS,Put,DFND,243000
7978,1000275,1833835,ORD,Call,SOLE,400000
8244,1000275,1851112,SHS CL A,Call,SOLE,3000
8272,1000275,185386,COM,Call,DFND,661000
8284,1000275,1855612,CLASS A ORD,Call,SOLE,273000
8327,1000275,1860571,COM SB VTG SHS A,Put,DFND,4710000
8340,1000275,1862965,COM,Call,SOLE,23651000
8341,1000275,1862965,COM,Put,SOLE,19670000
8376,1000275,1867072,COMMON STOCK,Call,SOLE,5000
8377,1000275,1867072,COMMON STOCK,Put,SOLE,5000
8446,1000275,19617,COM,Call,SOLE,95153000
8447,1000275,19617,COM,Put,DFND,121930000
8448,1000275,19617,COM,Put,SOLE,190400000
8453,1000275,200406,COM,Call,SOLE,90034000
8472,1000275,21271,COM,Put,SOLE,13895000
8476,1000275,21344,COM,Call,SOLE,76339000
8477,1000275,21344,COM,Put,SOLE,20427000
8504,1000275,22301,CL A,Call,SOLE,6196000
8505,1000275,22301,CL A,Put,SOLE,44874000
8522,1000275,2488,COM,Call,DFND,12951000
8523,1000275,2488,COM,Call,SOLE,32176000
8524,1000275,2488,COM,Put,DFND,835000
8525,1000275,2488,COM,Put,SOLE,58265000
8545,1000275,27419,COM,Call,SOLE,14303000
8564,1000275,27904,COM NEW,Call,SOLE,5862000
8565,1000275,27904,COM NEW,Put,SOLE,20732000
8570,1000275,2809,COM,Call,SOLE,2221000
8577,1000275,28431,NAMEN AKT,Put,SOLE,3750000
8584,1000275,29082,COM,Put,SOLE,104055000
8593,1000275,2969,COM,Call,SOLE,68154000
8594,1000275,2969,COM,Put,SOLE,3955000
8619,1000275,311337,COM,Call,DFND,22309000
8620,1000275,311337,COM,Put,DFND,85705000
8641,1000275,313807,SPONSORED ADR,Call,SOLE,4793000
8642,1000275,313807,SPONSORED ADR,Put,SOLE,5326000
8698,1000275,319201,COM NEW,Call,SOLE,54968000
8707,1000275,320187,CL B,Call,SOLE,8467000
8708,1000275,320187,CL B,Put,SOLE,47334000
8712,1000275,320193,COM,Call,SOLE,92017000
8713,1000275,320193,COM,Put,DFND,746000
8714,1000275,320193,COM,Put,SOLE,1165889000
8730,1000275,33213,COM,Call,SOLE,925000
8740,1000275,34088,COM,Call,SOLE,49172000
8741,1000275,34088,COM,Put,SOLE,50053000
8765,1000275,353203,CL A,Call,SOLE,803000
8775,1000275,353944,SHS USD,Call,SOLE,8676000
8776,1000275,353944,SHS USD,Put,SOLE,1156000
8786,1000275,35495,COM,Call,SOLE,113464000
8862,1000275,36966,COM,Call,SOLE,2082000
8869,1000275,37996,COM,Call,SOLE,5452000
8870,1000275,37996,COM,Put,DFND,4229000
8871,1000275,37996,COM,Put,SOLE,71137000
8885,1000275,39911,COM,Put,SOLE,6795000
8895,1000275,40545,COM NEW,Put,SOLE,233579000
8899,1000275,40729,COM,Call,SOLE,2961000
8900,1000275,40729,COM,Put,SOLE,1719000
8914,1000275,42582,COM,Put,SOLE,12378000
8934,1000275,45012,COM,Put,SOLE,3417000
8959,1000275,47217,COM,Put,SOLE,5651000
8976,1000275,4962,COM,Put,SOLE,16278000
8983,1000275,4977,COM,Call,SOLE,7591000
8987,1000275,49826,COM,Call,SOLE,39636000
8991,1000275,49938,COM NEW,Call,DFND,9137000
8992,1000275,49938,COM NEW,Put,DFND,361000
9001,1000275,50863,COM,Call,SOLE,1725000
9002,1000275,50863,COM,Put,SOLE,238157000
9038,1000275,51143,COM,Call,SOLE,170136000
9039,1000275,51143,COM,Put,DFND,134000
9040,1000275,51143,COM,Put,SOLE,21439000
9098,1000275,56873,COM,Put,SOLE,15841000
9128,1000275,60519,COM,Put,SOLE,11753000
9131,1000275,60667,COM,Call,SOLE,14682000
9132,1000275,60667,COM,Put,SOLE,6462000
9141,1000275,6201,COM,Call,SOLE,659000
9142,1000275,6201,COM,Put,SOLE,4849000
9151,1000275,6281,COM,Call,SOLE,5519000
9152,1000275,6281,COM,Put,SOLE,2426000
9168,1000275,63908,COM,Call,SOLE,139262000
9176,1000275,64803,COM,Call,SOLE,80630000
9177,1000275,64803,COM,Put,SOLE,45989000
9181,1000275,64978,COM,Call,SOLE,9519000
9182,1000275,64978,COM,Put,SOLE,10806000
9241,1000275,701818,COM,Call,DFND,2615000
9242,1000275,701818,COM,Call,SOLE,2841000
9243,1000275,701818,COM,Put,DFND,2983000
9256,1000275,70318,COM NEW,Put,SOLE,2042000
9279,1000275,707549,COM,Call,SOLE,29989000
9280,1000275,707549,COM,Put,SOLE,2157000
9284,1000275,7084,COM,Put,DFND,1534000
9288,1000275,70866,COM,Call,SOLE,101000
9355,1000275,718877,COM,Call,SOLE,1723000
9356,1000275,718877,COM,Put,SOLE,2329000
9362,1000275,71894,COM NEW,Call,DFND,34508000
9363,1000275,71894,COM NEW,Put,DFND,282968000
9364,1000275,71894,COM NEW,Put,SOLE,9997000
9378,1000275,719955,COM,Put,SOLE,1691000
9387,1000275,721371,COM,Call,SOLE,463000
9388,1000275,721371,COM,Put,SOLE,4269000
9395,1000275,723125,COM,Call,SOLE,7191000
9396,1000275,723125,COM,Put,SOLE,180478000
9407,1000275,72333,COM,Call,SOLE,1131000
9408,1000275,72333,COM,Put,SOLE,1131000
9445,1000275,727632,COM,Put,SOLE,26965000
9451,1000275,72903,COM,Call,SOLE,38785000
9482,1000275,731766,COM,Call,SOLE,80895000
9483,1000275,731766,COM,Put,DFND,151000
9488,1000275,732712,COM,Call,SOLE,3564000
9489,1000275,732712,COM,Put,SOLE,3118000
9493,1000275,732717,COM,Call,SOLE,71239000
9494,1000275,732717,COM,Put,SOLE,6396000
9500,1000275,733099,CL B,Call,DFND,37866000
9501,1000275,733099,CL B,Put,DFND,47630000
9502,1000275,733099,CL B,Put,SOLE,2496000
9538,1000275,74026,COM,Call,SOLE,47675000
9550,1000275,74208,COM,Call,SOLE,3005000
9589,1000275,749098,COM,Call,DFND,17483000
9636,1000275,756894,COM,Call,DFND,12179000
9637,1000275,756894,COM,Call,SOLE,8698000
9638,1000275,756894,COM,Put,DFND,5035000
9639,1000275,756894,COM,Put,SOLE,7944000
9659,1000275,76418,COM,Put,DFND,190000
9663,1000275,764478,COM,Put,SOLE,5385000
9666,1000275,764535,FNF GROUP COM,Put,DFND,183000
9717,1000275,77384,COM,Call,SOLE,44600000
9746,1000275,78003,COM,Call,SOLE,2120000
9747,1000275,78003,COM,Put,SOLE,34544000
9788,1000275,789019,COM,Call,SOLE,285166000
9789,1000275,789019,COM,Put,DFND,605000
9790,1000275,789019,COM,Put,SOLE,611867000
9796,1000275,78957,COM,Put,DFND,2652000
9797,1000275,78957,COM,Put,SOLE,6732000
9845,1000275,795266,COM,Call,SOLE,4920000
9846,1000275,795266,COM,Put,SOLE,17780000
9852,1000275,796343,COM,Call,SOLE,11341000
9853,1000275,796343,COM,Put,DFND,340000
9854,1000275,796343,COM,Put,SOLE,27105000
9862,1000275,798354,COM,Call,SOLE,3010000
9863,1000275,798354,COM,Put,SOLE,3010000
9899,1000275,80424,COM,Call,SOLE,95907000
9903,1000275,804328,COM,Call,SOLE,2085000
9904,1000275,804328,COM,Put,SOLE,37177000
9972,1000275,813828,CL B,Call,SOLE,6712000
9973,1000275,813828,CL B,Put,SOLE,7119000
9979,1000275,814445,COM,Put,SOLE,5694000
9999,1000275,815097,COMMON STOCK,Call,SOLE,2441000
10000,1000275,815097,COMMON STOCK,Put,SOLE,20744000
10017,1000275,818686,SPONSORED ADS,Put,SOLE,2614000
10082,1000275,829224,COM,Put,SOLE,92991000
10091,1000275,831001,COM NEW,Call,SOLE,101805000
10092,1000275,831001,COM NEW,Put,DFND,40763000
10093,1000275,831001,COM NEW,Put,SOLE,75681000
10099,1000275,831259,CL B,Call,SOLE,2003000
10100,1000275,831259,CL B,Put,SOLE,22326000
10196,1000275,847926,COM,Put,DFND,1772000
10254,1000275,857501,COM,Call,SOLE,13923000
10255,1000275,857501,COM,Put,SOLE,682000
10266,1000275,858877,COM,Call,SOLE,106519000
